GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-2077762488,Connect4,15,GAME_OVER,31,0,2,32,2,mcts,2,1,1,BasicMCTS,mcts,-1.0,1.0,BasicMCTS,BasicMCTS,mcts,0
-1650356246,Connect4,13,GAME_OVER,27,0,2,33,2,mcts,2,1,1,BasicMCTS,mcts,-1.0,1.0,BasicMCTS,BasicMCTS,mcts,0
1134509631,Connect4,7,GAME_OVER,15,0,2,34,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-775450780,Connect4,3,GAME_OVER,7,0,2,35,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-948910137,Connect4,5,GAME_OVER,11,0,2,36,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-1514521831,Connect4,3,GAME_OVER,7,0,2,37,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
1580144535,Connect4,3,GAME_OVER,7,0,2,38,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-584385227,Connect4,8,GAME_OVER,17,0,2,39,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-2077762488,Connect4,9,GAME_OVER,19,0,2,40,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
-1650356246,Connect4,9,GAME_OVER,19,0,2,41,2,mcts,2,1,1,OSLA,mcts,-1.0,1.0,OSLA,OSLA,mcts,0
1134509631,Connect4,3,GAME_OVER,7,0,2,42,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-775450780,Connect4,3,GAME_OVER,7,0,2,43,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-948910137,Connect4,3,GAME_OVER,7,0,2,44,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-1514521831,Connect4,4,GAME_OVER,9,0,2,45,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
1580144535,Connect4,3,GAME_OVER,7,0,2,46,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-584385227,Connect4,3,GAME_OVER,7,0,2,47,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-2077762488,Connect4,3,GAME_OVER,7,0,2,48,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
-1650356246,Connect4,3,GAME_OVER,7,0,2,49,2,mcts,2,1,1,rhea,mcts,-1.0,1.0,rhea,rhea,mcts,0
1134509631,Connect4,8,GAME_OVER,18,1,2,50,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-775450780,Connect4,4,GAME_OVER,10,1,2,51,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-948910137,Connect4,11,GAME_OVER,24,1,2,52,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-1514521831,Connect4,9,GAME_OVER,20,1,2,53,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
1580144535,Connect4,5,GAME_OVER,12,1,2,54,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-584385227,Connect4,6,GAME_OVER,14,1,2,55,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-2077762488,Connect4,4,GAME_OVER,10,1,2,56,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
-1650356246,Connect4,6,GAME_OVER,14,1,2,57,1,OSLA,1,2,2,BasicMCTS,OSLA,1.0,-1.0,BasicMCTS,BasicMCTS,OSLA,1
1134509631,Connect4,6,GAME_OVER,14,1,2,58,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-775450780,Connect4,5,GAME_OVER,12,1,2,59,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-948910137,Connect4,3,GAME_OVER,8,1,2,60,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-1514521831,Connect4,3,GAME_OVER,8,1,2,61,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
1580144535,Connect4,3,GAME_OVER,8,1,2,62,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-584385227,Connect4,4,GAME_OVER,10,1,2,63,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-2077762488,Connect4,4,GAME_OVER,10,1,2,64,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
-1650356246,Connect4,6,GAME_OVER,14,1,2,65,1,OSLA,1,2,2,mcts,OSLA,1.0,-1.0,mcts,mcts,OSLA,1
1134509631,Connect4,3,GAME_OVER,8,1,2,66,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
-775450780,Connect4,3,GAME_OVER,8,1,2,67,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
-948910137,Connect4,3,GAME_OVER,8,1,2,68,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
-1514521831,Connect4,3,GAME_OVER,8,1,2,69,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
1580144535,Connect4,4,GAME_OVER,9,0,2,70,2,OSLA,2,1,1,rhea,OSLA,-1.0,1.0,rhea,rhea,OSLA,0
-584385227,Connect4,3,GAME_OVER,8,1,2,71,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
-2077762488,Connect4,3,GAME_OVER,8,1,2,72,1,OSLA,1,2,2,rhea,OSLA,1.0,-1.0,rhea,rhea,OSLA,1
-1650356246,Connect4,5,GAME_OVER,11,0,2,73,2,OSLA,2,1,1,rhea,OSLA,-1.0,1.0,rhea,rhea,OSLA,0
1134509631,Connect4,5,GAME_OVER,12,1,2,74,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
-775450780,Connect4,11,GAME_OVER,24,1,2,75,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
-948910137,Connect4,5,GAME_OVER,12,1,2,76,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
-1514521831,Connect4,8,GAME_OVER,18,1,2,77,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
1580144535,Connect4,3,GAME_OVER,8,1,2,78,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
-584385227,Connect4,4,GAME_OVER,9,0,2,79,2,rhea,2,1,1,BasicMCTS,rhea,-1.0,1.0,BasicMCTS,BasicMCTS,rhea,0
-2077762488,Connect4,4,GAME_OVER,10,1,2,80,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
-1650356246,Connect4,3,GAME_OVER,8,1,2,81,1,rhea,1,2,2,BasicMCTS,rhea,1.0,-1.0,BasicMCTS,BasicMCTS,rhea,1
1134509631,Connect4,6,GAME_OVER,14,1,2,82,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-775450780,Connect4,4,GAME_OVER,10,1,2,83,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-948910137,Connect4,7,GAME_OVER,16,1,2,84,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-1514521831,Connect4,3,GAME_OVER,8,1,2,85,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
1580144535,Connect4,6,GAME_OVER,14,1,2,86,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-584385227,Connect4,3,GAME_OVER,8,1,2,87,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-2077762488,Connect4,4,GAME_OVER,10,1,2,88,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
-1650356246,Connect4,6,GAME_OVER,14,1,2,89,1,rhea,1,2,2,mcts,rhea,1.0,-1.0,mcts,mcts,rhea,1
1134509631,Connect4,7,GAME_OVER,15,0,2,90,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-775450780,Connect4,3,GAME_OVER,7,0,2,91,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-948910137,Connect4,4,GAME_OVER,9,0,2,92,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-1514521831,Connect4,3,GAME_OVER,7,0,2,93,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
1580144535,Connect4,3,GAME_OVER,7,0,2,94,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-584385227,Connect4,3,GAME_OVER,7,0,2,95,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-2077762488,Connect4,3,GAME_OVER,7,0,2,96,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
-1650356246,Connect4,3,GAME_OVER,7,0,2,97,2,rhea,2,1,1,OSLA,rhea,-1.0,1.0,OSLA,OSLA,rhea,0
